,description,avg price,qtd,elasticity,date,revenue,perfect price,price difference,restaurant,profit
241,batata wedge,1.327400408580184,1958.0,0.0029975629847796303,2016-08-01,2599.05,1.33,0.0025995914198160275,CO,0.0034506987128053355
242,chuleton prato,15.044174757281553,103.0,0.6458180852939507,2016-08-01,1549.55,24.76,9.715825242718449,CO,146.1665728626638
243,costeletas de borrego prato,11.504406779661016,472.0,0.10777084510291703,2018-08-01,5430.08,12.74,1.235593220338984,CO,14.214767020970996
244,entrecote prato,11.504399038461539,1248.0,0.04075945886227586,2022-08-01,14357.490000000002,11.97,0.46560096153846153,CO,5.356459254229845
245,lombo prato,11.504396782841823,746.0,0.06818739234139569,2021-08-01,8582.28,12.29,0.7856032171581759,CO,9.037891124064705
246,maminha prato,9.734495798319328,714.0,0.06028292379573963,2017-08-01,6950.43,10.32,0.5855042016806724,CO,5.699588191158818
247,pao,1.3274666666666668,75.0,0.07826028387584051,2018-08-01,99.56000000000002,1.43,0.10253333333333314,CO,0.13610958222222197
248,pica-pau,5.752208258527828,557.0,0.04566237158294608,2019-08-01,3203.98,6.01,0.25779174147217176,CO,1.4828717842764971
249,picanha prato,9.734503735325507,937.0,0.045936011402767124,2019-08-01,9121.23,10.18,0.44549626467449244,CO,4.336685052547407
250,prego entrecote,6.637202505219206,479.0,0.061267281804541406,2017-08-01,3179.22,7.04,0.40279749478079374,CO,2.6734485414551044
251,prego lombo,6.637207920792079,505.0,0.058112974118516104,2017-08-01,3351.79,7.02,0.38279207920792047,CO,2.5406706201352787
252,prego maminha,5.486689497716895,438.0,0.05538795498522913,2018-08-01,2403.17,5.79,0.30331050228310463,CO,1.6641705474239465
253,prego picanha,5.486708463949843,319.0,0.07605018227131635,2016-08-01,1750.26,5.9,0.4132915360501572,CO,2.2676101689252293
254,prego secretos,5.486732673267326,101.0,0.24019916028090127,2018-08-01,554.16,6.8,1.3132673267326735,CO,7.2055467503185975
255,prego vazia,6.194710424710425,259.0,0.10575485241477066,2022-08-01,1604.43,6.85,0.6552895752895749,CO,4.059329163250396
256,salada mista,1.3273936899862826,729.0,0.008051026909863732,2016-08-01,967.67,1.34,0.012606310013717481,CO,0.01673353636621947
257,secretos prato,9.734505928853755,253.0,0.17012668926200988,2018-08-01,2462.83,11.39,1.6554940711462454,CO,16.115416850755366
258,vazia prato,10.619504132231405,605.0,0.07761182957162152,2017-08-01,6424.8,11.44,0.8204958677685941,CO,8.713259258247378
259,batata wedge,1.3273991571342565,1661.0,0.0035335477367912224,2017-09-01,2204.81,1.33,0.00260084286574358,CO,0.0034523566278266723
260,chuleton prato,15.044158415841585,101.0,0.6586058468319949,2022-09-01,1519.46,24.95,9.905841584158415,CO,149.02505003431034
261,corte do dia,9.734496487119438,427.0,0.10080096167623866,2018-09-01,4156.63,10.72,0.9855035128805625,CO,9.5933804841797
262,costeletas de borrego prato,11.504404494382023,445.0,0.1143097276044863,2018-09-01,5119.46,12.82,1.3155955056179778,CO,15.135142847620253
